Year,Publication Type,Title,Authors
2017,Poster,Frustratingly Short Attention Spans in Neural Language Modeling.,Michal Daniluk; Tim Rocktäschel; Johannes Welbl; Sebastian Riedel
2017,Poster,Learning to Perform Physics Experiments via Deep Reinforcement Learning.,Misha Denil; Pulkit Agrawal; Tejas D. Kulkarni; Tom Erez; Peter Battaglia; Nando de Freitas
2017,Poster,Learning and Policy Search in Stochastic Dynamical Systems with Bayesian Neural Networks.,Stefan Depeweg; José Miguel Hernández-Lobato; Finale Doshi-Velez; Steffen Udluft
2017,Poster,TopicRNN - A Recurrent Neural Network with Long-Range Semantic Dependency.,Adji B. Dieng; Chong Wang; Jianfeng Gao; John W. Paisley
2017,Poster,Density estimation using Real NVP.,Laurent Dinh; Jascha Sohl-Dickstein; Samy Bengio
2017,Poster,Adversarial Feature Learning.,Jeff Donahue; Philipp Krähenbühl; Trevor Darrell
2017,Oral,Learning to Act by Predicting the Future.,Alexey Dosovitskiy; Vladlen Koltun
2017,Poster,Deep Biaffine Attention for Neural Dependency Parsing.,Timothy Dozat; Christopher D. Manning
2017,Poster,Adversarially Learned Inference.,Vincent Dumoulin; Ishmael Belghazi; Ben Poole; Alex Lamb; Martín Arjovsky; Olivier Mastropietro; Aaron C. Courville
2017,Poster,A Learned Representation For Artistic Style.,Vincent Dumoulin; Jonathon Shlens; Manjunath Kudlur
2017,Poster,Generative Multi-Adversarial Networks.,Ishan P. Durugkar; Ian Gemp; Sridhar Mahadevan
2017,Poster,Towards a Neural Statistician.,Harrison Edwards; Amos J. Storkey
2017,Poster,Learning Recurrent Representations for Hierarchical Behavior Modeling.,Eyrun Eyjolfsdottir; Kristin Branson; Yisong Yue; Pietro Perona
2017,Poster,Generalizing Skills with Semi-Supervised Reinforcement Learning.,Chelsea Finn; Tianhe Yu; Justin Fu; Pieter Abbeel; Sergey Levine
2017,Poster,Stochastic Neural Networks for Hierarchical Reinforcement Learning.,Carlos Florensa; Yan Duan; Pieter Abbeel
2017,Poster,Topology and Geometry of Half-Rectified Network Optimization.,C. Daniel Freeman; Joan Bruna
2017,Poster,Training deep neural-networks using a noise adaptation layer.,Jacob Goldberger; Ehud Ben-Reuven
2017,Poster,Improving Neural Language Models with a Continuous Cache.,Edouard Grave; Armand Joulin; Nicolas Usunier
2017,Poster,Highway and Residual Networks learn Unrolled Iterative Estimation.,Klaus Greff; Rupesh Kumar Srivastava; Jürgen Schmidhuber
2017,Poster,Q-Prop - Sample-Efficient Policy Gradient with An Off-Policy Critic.,Shixiang Gu; Timothy P. Lillicrap; Zoubin Ghahramani; Richard E. Turner; Sergey Levine
2017,Poster,Mollifying Networks.,Çaglar Gülçehre; Marcin Moczulski; Francesco Visin; Yoshua Bengio
2017,Poster,PixelVAE - A Latent Variable Model for Natural Images.,Ishaan Gulrajani; Kundan Kumar; Faruk Ahmed; Adrien Ali Taïga; Francesco Visin; David Vázquez; Aaron C. Courville
2017,Poster,"Learning to Query, Reason, and Answer Questions On Ambiguous Texts.",Xiaoxiao Guo; Tim Klinger; Clemens Rosenbaum; Joseph P. Bigus; Murray Campbell; Ban Kawas; Kartik Talamadupula; Gerry Tesauro; Satinder Singh
2017,Poster,HyperNetworks.,David Ha; Andrew M. Dai; Quoc V. Le
2017,Poster,Metacontrol for Adaptive Imagination-Based Optimization.,Jessica B. Hamrick; Andrew J. Ballard; Razvan Pascanu; Oriol Vinyals; Nicolas Heess; Peter W. Battaglia
2017,Poster,DSD - Dense-Sparse-Dense Training for Deep Neural Networks.,Song Han; Jeff Pool; Sharan Narang; Huizi Mao; Enhao Gong; Shijian Tang; Erich Elsen; Peter Vajda; Manohar Paluri; John Tran; Bryan Catanzaro; William J. Dally
2017,Poster,Identity Matters in Deep Learning.,Moritz Hardt; Tengyu Ma
2017,Poster,Learning to Play in a Day - Faster Deep Reinforcement Learning by Optimality Tightening.,Frank S. He; Yang Liu; Alexander G. Schwing; Jian Peng
2017,Poster,Multi-view Recurrent Neural Acoustic Word Embeddings.,Wanjia He; Weiran Wang; Karen Livescu
2017,Poster,Tracking the World State with Recurrent Entity Networks.,Mikael Henaff; Jason Weston; Arthur Szlam; Antoine Bordes; Yann LeCun
2017,Poster,A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks.,Dan Hendrycks; Kevin Gimpel
2017,Poster,beta-VAE - Learning Basic Visual Concepts with a Constrained Variational Framework.,Irina Higgins; Loïc Matthey; Arka Pal; Christopher Burgess; Xavier Glorot; Matthew Botvinick; Shakir Mohamed; Alexander Lerchner
2017,Poster,Loss-aware Binarization of Deep Networks.,Lu Hou; Quanming Yao; James T. Kwok
2017,Poster,"Snapshot Ensembles - Train 1, Get M for Free.",Gao Huang; Yixuan Li; Geoff Pleiss; Zhuang Liu; John E. Hopcroft; Kilian Q. Weinberger
2017,Poster,An Information-Theoretic Framework for Fast and Robust Unsupervised Learning via Neural Population Infomax.,Wentao Huang; Kechen Zhang
2017,Poster,Tying Word Vectors and Word Classifiers - A Loss Framework for Language Modeling.,Hakan Inan; Khashayar Khosravi; Richard Socher
2017,Oral,Reinforcement Learning with Unsupervised Auxiliary Tasks.,Max Jaderberg; Volodymyr Mnih; Wojciech Marian Czarnecki; Tom Schaul; Joel Z. Leibo; David Silver; Koray Kavukcuoglu
2017,Poster,Online Bayesian Transfer Learning for Sequential Data Modeling.,Priyank Jaini; Zhitang Chen; Pablo Carbajal; Edith Law; Laura Middleton; Kayla Regan; Mike Schaekermann; George Trimponias; James Tung; Pascal Poupart
2017,Poster,Categorical Reparameterization with Gumbel-Softmax.,Eric Jang; Shixiang Gu; Ben Poole
2017,Poster,Variable Computation in Recurrent Neural Networks.,Yacine Jernite; Edouard Grave; Armand Joulin; Tomas Mikolov
2017,Oral,Learning Graphical State Transitions.,Daniel D. Johnson
2017,Poster,Learning to Remember Rare Events.,Lukasz Kaiser; Ofir Nachum; Aurko Roy; Samy Bengio
2017,Poster,HolStep - A Machine Learning Dataset for Higher-order Logic Theorem Proving.,Cezary Kaliszyk; François Chollet; Christian Szegedy
2017,Poster,Batch Policy Gradient Methods for Improving Neural Conversation Models.,Kirthevasan Kandasamy; Yoram Bachrach; Ryota Tomioka; Daniel Tarlow; David Carter
2017,Poster,Deep Variational Bayes Filters - Unsupervised Learning of State Space Models from Raw Data.,Maximilian Karl; Maximilian Sölch; Justin Bayer; Patrick van der Smagt
2017,Oral,On Large-Batch Training for Deep Learning - Generalization Gap and Sharp Minima.,Nitish Shirish Keskar; Dheevatsa Mudigere; Jorge Nocedal; Mikhail Smelyanskiy; Ping Tak Peter Tang
2017,Poster,Structured Attention Networks.,Yoon Kim; Carl Denton; Luong Hoang; Alexander M. Rush
2017,Poster,Hadamard Product for Low-rank Bilinear Pooling.,Jin-Hwa Kim; Kyoung Woon On; Woosang Lim; Jeonghee Kim; Jung-Woo Ha; Byoung-Tak Zhang
2017,Poster,Semi-Supervised Classification with Graph Convolutional Networks.,Thomas N. Kipf; Max Welling
2017,Poster,Learning Curve Prediction with Bayesian Neural Networks.,Aaron Klein; Stefan Falkner; Jost Tobias Springenberg; Frank Hutter
2017,Poster,Zoneout - Regularizing RNNs by Randomly Preserving Hidden Activations.,David Krueger; Tegan Maharaj; János Kramár; Mohammad Pezeshki; Nicolas Ballas; Nan Rosemary Ke; Anirudh Goyal; Yoshua Bengio; Aaron C. Courville; Christopher J. Pal
2017,Poster,Adversarial Machine Learning at Scale.,Alexey Kurakin; Ian J. Goodfellow; Samy Bengio
2017,Poster,Temporal Ensembling for Semi-Supervised Learning.,Samuli Laine; Timo Aila
2017,Poster,FractalNet - Ultra-Deep Neural Networks without Residuals.,Gustav Larsson; Michael Maire; Gregory Shakhnarovich
2017,Oral,Multi-Agent Cooperation and the Emergence of (Natural) Language.,Angeliki Lazaridou; Alexander Peysakhovich; Marco Baroni
2017,Poster,Learning Visual Servoing with Deep Features and Fitted Q-Iteration.,Alex X. Lee; Sergey Levine; Pieter Abbeel
2017,Poster,Hyperband - Bandit-Based Configuration Evaluation for Hyperparameter Optimization.,Lisha Li; Kevin G. Jamieson; Giulia DeSalvo; Afshin Rostamizadeh; Ameet Talwalkar
2017,Poster,Filter shaping for Convolutional Neural Networks.,Xingyi Li; Fuxin Li; Xiaoli Z. Fern; Raviv Raich
2017,Poster,Learning to Optimize.,Ke Li; Jitendra Malik
2017,Poster,Dialogue Learning With Human-in-the-Loop.,Jiwei Li; Alexander H. Miller; Sumit Chopra; Marc'Aurelio Ranzato; Jason Weston
2017,Poster,Learning through Dialogue Interactions by Asking Questions.,Jiwei Li; Alexander H. Miller; Sumit Chopra; Marc'Aurelio Ranzato; Jason Weston
2017,Poster,Neural Program Lattices.,Chengtao Li; Daniel Tarlow; Alexander L. Gaunt; Marc Brockschmidt; Nate Kushman
2017,Poster,Why Deep Neural Networks for Function Approximation?,Shiyu Liang; R. Srikant
2017,Poster,A Structured Self-Attentive Sentence Embedding.,Zhouhan Lin; Minwei Feng; Cícero Nogueira dos Santos; Mo Yu; Bing Xiang; Bowen Zhou; Yoshua Bengio
2017,Poster,Transfer of View-manifold Learning to Similarity Perception of Novel Objects.,Xingyu Lin; Hao Wang; Zhihao Li; Yimeng Zhang; Alan L. Yuille; Tai Sing Lee
2017,Poster,Delving into Transferable Adversarial Examples and Black-box Attacks.,Yanpei Liu; Xinyun Chen; Chang Liu; Dawn Song
2017,Poster,Maximum Entropy Flow Networks.,Gabriel Loaiza-Ganem; Yuanjun Gao; John P. Cunningham
2017,Poster,Deep Learning with Dynamic Computation Graphs.,Moshe Looks; Marcello Herreshoff; DeLesley Hutchins; Peter Norvig
2017,Poster,Revisiting Classifier Two-Sample Tests.,David Lopez-Paz; Maxime Oquab
2017,Poster,SGDR - Stochastic Gradient Descent with Warm Restarts.,Ilya Loshchilov; Frank Hutter
2017,Poster,Deep Predictive Coding Networks for Video Prediction and Unsupervised Learning.,William Lotter; Gabriel Kreiman; David Cox
2017,Poster,Dropout with Expectation-linear Regularization.,Xuezhe Ma; Yingkai Gao; Zhiting Hu; Yaoliang Yu; Yuntian Deng; Eduard H. Hovy
2017,Poster,The Concrete Distribution - A Continuous Relaxation of Discrete Random Variables.,Chris J. Maddison; Andriy Mnih; Yee Whye Teh
2017,Poster,SampleRNN - An Unconditional End-to-End Neural Audio Generation Model.,Soroush Mehri; Kundan Kumar; Ishaan Gulrajani; Rithesh Kumar; Shubham Jain; Jose Sotelo; Aaron C. Courville; Yoshua Bengio
2017,Poster,Pointer Sentinel Mixture Models.,Stephen Merity; Caiming Xiong; James Bradbury; Richard Socher
2017,Poster,Unrolled Generative Adversarial Networks.,Luke Metz; Ben Poole; David Pfau; Jascha Sohl-Dickstein
2017,Poster,On Detecting Adversarial Perturbations.,Jan Hendrik Metzen; Tim Genewein; Volker Fischer; Bastian Bischoff
2017,Poster,Learning to Navigate in Complex Environments.,Piotr Mirowski; Razvan Pascanu; Fabio Viola; Hubert Soyer; Andy Ballard; Andrea Banino; Misha Denil; Ross Goroshin; Laurent Sifre; Koray Kavukcuoglu; Dharshan Kumaran; Raia Hadsell
2017,Poster,Adversarial Training Methods for Semi-Supervised Text Classification.,Takeru Miyato; Andrew M. Dai; Ian J. Goodfellow
2017,Poster,Pruning Convolutional Neural Networks for Resource Efficient Inference.,Pavlo Molchanov; Stephen Tyree; Tero Karras; Timo Aila; Jan Kautz
2017,Poster,Understanding Trainable Sparse Coding with Matrix Factorization.,Thomas Moreau; Joan Bruna
2017,Poster,Geometry of Polysemy.,Jiaqi Mu; Suma Bhat; Pramod Viswanath
2017,Poster,Reasoning with Memory Augmented Neural Networks for Language Comprehension.,Tsendsuren Munkhdalai; Hong Yu
2017,Poster,Automatic Rule Extraction from Long Short Term Memory Networks.,W. James Murdoch; Arthur Szlam
2017,Poster,Improving Policy Gradient by Exploring Under-appreciated Rewards.,Ofir Nachum; Mohammad Norouzi; Dale Schuurmans
2017,Poster,Stick-Breaking Variational Autoencoders.,Eric T. Nalisnick; Padhraic Smyth
2017,Poster,Exploring Sparsity in Recurrent Neural Networks.,Sharan Narang; Greg Diamos; Shubho Sengupta; Erich Elsen
2017,Poster,Learning a Natural Language Interface with Neural Programmer.,Arvind Neelakantan; Quoc V. Le; Martín Abadi; Andrew McCallum; Dario Amodei
2017,Poster,Sigma Delta Quantized Networks.,Peter O'Connor; Max Welling
2017,Poster,Combining policy gradient and Q-learning.,Brendan O'Donoghue; Rémi Munos; Koray Kavukcuoglu; Volodymyr Mnih
2017,Poster,Learning Invariant Representations Of Planar Curves.,Gautam Pai; Aaron Wetzler; Ron Kimmel
2017,Oral,Semi-supervised Knowledge Transfer for Deep Learning from Private Training Data.,Nicolas Papernot; Martín Abadi; Úlfar Erlingsson; Ian J. Goodfellow; Kunal Talwar
2017,Poster,Neuro-Symbolic Program Synthesis.,Emilio Parisotto; Abdel-rahman Mohamed; Rishabh Singh; Lihong Li; Dengyong Zhou; Pushmeet Kohli
2017,Poster,Faster CNNs with Direct Sparse Convolutions and Guided Pruning.,Jongsoo Park; Sheng R. Li; Wei Wen; Ping Tak Peter Tang; Hai Li; Yiran Chen; Pradeep Dubey
2017,Poster,Nonparametric Neural Networks.,George Philipp; Jaime G. Carbonell
2017,Poster,Variational Recurrent Adversarial Deep Domain Adaptation.,Sanjay Purushotham; Wilka Carvalho; Tanachat Nilanon; Yan Liu
2017,Poster,Paleo - A Performance Model for Deep Neural Networks.,Hang Qi; Evan R. Sparks; Ameet Talwalkar
2017,Poster,"Attend, Adapt and Transfer - Attentive Deep Architecture for Adaptive Transfer from multiple sources in the same domain.",Janarthanan Rajendran; Aravind S. Lakshminarayanan; Mitesh M. Khapra; P. Prasanna; Balaraman Ravindran
2017,Poster,EPOpt - Learning Robust Neural Network Policies Using Model Ensembles.,Aravind Rajeswaran; Sarvjeet Ghotra; Balaraman Ravindran; Sergey Levine
2017,Oral,Optimization as a Model for Few-Shot Learning.,Sachin Ravi; Hugo Larochelle
2017,Poster,Normalizing the Normalizers - Comparing and Extending Network Normalization Schemes.,Mengye Ren; Renjie Liao; Raquel Urtasun; Fabian H. Sinz; Richard S. Zemel
2017,Poster,Regularizing CNNs with Locally Constrained Decorrelations.,Pau Rodríguez; Jordi Gonzàlez; Guillem Cucurull; Josep M. Gonfaus; F. Xavier Roca
2017,Poster,Discrete Variational Autoencoders.,Jason Tyler Rolfe
2017,Poster,Diet Networks - Thin Parameters for Fat Genomics.,Adriana Romero; Pierre Luc Carrier; Akram Erraqabi; Tristan Sylvain; Alex Auvolat; Etienne Dejoie; Marc-André Legault; Marie-Pierre Dubé; Julie G. Hussin; Yoshua Bengio
2017,Poster,Tighter bounds lead to improved classifiers.,Nicolas Le Roux
2017,Poster,PixelCNN++ - Improving the PixelCNN with Discretized Logistic Mixture Likelihood and Other Modifications.,Tim Salimans; Andrej Karpathy; Xi Chen; Diederik P. Kingma
2017,Poster,Deep Information Propagation.,Samuel S. Schoenholz; Justin Gilmer; Surya Ganguli; Jascha Sohl-Dickstein
2017,Poster,Bidirectional Attention Flow for Machine Comprehension.,Min Joon Seo; Aniruddha Kembhavi; Ali Farhadi; Hannaneh Hajishirzi
2017,Poster,Query-Reduction Networks for Question Answering.,Min Joon Seo; Sewon Min; Ali Farhadi; Hannaneh Hajishirzi
2017,Poster,Learning to Repeat - Fine Grained Action Repetition for Deep Reinforcement Learning.,Sahil Sharma; Aravind S. Lakshminarayanan; Balaraman Ravindran
2017,Poster,Outrageously Large Neural Networks - The Sparsely-Gated Mixture-of-Experts Layer.,Noam Shazeer; Azalia Mirhoseini; Krzysztof Maziarz; Andy Davis; Quoc V. Le; Geoffrey E. Hinton; Jeff Dean
2017,Poster,Introspection - Accelerating Neural Network Training By Learning Weight Evolution.,Abhishek Sinha; Aahitagni Mukherjee; Mausoom Sarkar; Balaji Krishnamurthy
2017,Poster,"Offline bilingual word vectors, orthogonal transformations and the inverted softmax.",Samuel L. Smith; David H. P. Turban; Steven Hamblin; Nils Y. Hammerla
2017,Oral,Amortised MAP Inference for Image Super-resolution.,Casper Kaae Sønderby; Jose Caballero; Lucas Theis; Wenzhe Shi; Ferenc Huszár
2017,Poster,Autoencoding Variational Inference For Topic Models.,Akash Srivastava; Charles A. Sutton
2017,Poster,Third Person Imitation Learning.,Bradly C. Stadie; Pieter Abbeel; Ilya Sutskever
2017,Poster,Generative Models and Model Criticism via Optimized Maximum Mean Discrepancy.,Dougal J. Sutherland; Hsiao-Yu Tung; Heiko Strathmann; Soumyajit De; Aaditya Ramdas; Alexander J. Smola; Arthur Gretton
2017,Poster,Unsupervised Cross-Domain Image Generation.,Yaniv Taigman; Adam Polyak; Lior Wolf
2017,Poster,Lossy Image Compression with Compressive Autoencoders.,Lucas Theis; Wenzhe Shi; Andrew Cunningham; Ferenc Huszár
2017,Poster,Learning Features of Music From Scratch.,John Thickstun; Zaïd Harchaoui; Sham Kakade
2017,Poster,Deep Probabilistic Programming.,Dustin Tran; Matthew D. Hoffman; Rif A. Saurous; Eugene Brevdo; Kevin Murphy; David M. Blei
2017,Poster,Soft Weight-Sharing for Neural Network Compression.,Karen Ullrich; Edward Meeds; Max Welling
2017,Poster,Do Deep Convolutional Nets Really Need to be Deep and Convolutional?,Gregor Urban; Krzysztof J. Geras; Samira Ebrahimi Kahou; Özlem Aslan; Shengjie Wang; Abdelrahman Mohamed; Matthai Philipose; Matthew Richardson; Rich Caruana
2017,Poster,What does it take to generate natural textures?,Ivan Ustyuzhaninov; Wieland Brendel; Leon A. Gatys; Matthias Bethge
2017,Poster,Episodic Exploration for Deep Deterministic Policies for StarCraft Micromanagement.,Nicolas Usunier; Gabriel Synnaeve; Zeming Lin; Soumith Chintala
2017,Poster,Decomposing Motion and Content for Natural Video Sequence Prediction.,Ruben Villegas; Jimei Yang; Seunghoon Hong; Xunyu Lin; Honglak Lee
2017,Poster,A Compare-Aggregate Model for Matching Text Sequences.,Shuohang Wang; Jing Jiang
2017,Poster,Machine Comprehension Using Match-LSTM and Answer Pointer.,Shuohang Wang; Jing Jiang
2017,Poster,Training Compressed Fully-Connected Networks with a Density-Diversity Penalty.,Shengjie Wang; Haoran Cai; Jeff A. Bilmes; William S. Noble
2017,Poster,Improving Generative Adversarial Networks with Denoising Feature Matching.,David Warde-Farley; Yoshua Bengio
2017,Poster,On the Quantitative Analysis of Decoder-Based Generative Models.,Yuhuai Wu; Yuri Burda; Ruslan Salakhutdinov; Roger Grosse
2017,Poster,Training Agent for First-Person Shooter Game with Actor-Critic Curriculum Learning.,Yuxin Wu; Yuandong Tian
2017,Poster,Data Noising as Smoothing in Neural Network Language Models.,Ziang Xie; Sida I. Wang; Jiwei Li; Daniel Lévy; Aiming Nie; Dan Jurafsky; Andrew Y. Ng
2017,Poster,Dynamic Coattention Networks For Question Answering.,Caiming Xiong; Victor Zhong; Richard Socher
2017,Poster,Words or Characters? Fine-grained Gating for Reading Comprehension.,Zhilin Yang; Bhuwan Dhingra; Ye Yuan; Junjie Hu; William W. Cohen; Ruslan Salakhutdinov
2017,Poster,Deep Multi-task Representation Learning - A Tensor Factorisation Approach.,Yongxin Yang; Timothy M. Hospedales
2017,Poster,LR-GAN - Layered Recursive Generative Adversarial Networks for Image Generation.,Jianwei Yang; Anitha Kannan; Dhruv Batra; Devi Parikh
2017,Poster,Lie-Access Neural Turing Machines.,Greg Yang; Alexander M. Rush
2017,Poster,Transfer Learning for Sequence Tagging with Hierarchical Recurrent Networks.,Zhilin Yang; Ruslan Salakhutdinov; William W. Cohen
2017,Poster,Support Regularized Sparse Coding and Its Fast Encoder.,Yingzhen Yang; Jiahui Yu; Pushmeet Kohli; Jianchao Yang; Thomas S. Huang
2017,Poster,Learning to Compose Words into Sentences with Reinforcement Learning.,Dani Yogatama; Phil Blunsom; Chris Dyer; Edward Grefenstette; Wang Ling
2017,Poster,The Neural Noisy Channel.,Lei Yu; Phil Blunsom; Chris Dyer; Edward Grefenstette; Tomás Kociský
2017,Poster,Towards Deep Interpretability (MUS-ROVER II) - Learning Hierarchical Representations of Tonal Music.,Haizi Yu; Lav R. Varshney
2017,Poster,Paying More Attention to Attention - Improving the Performance of Convolutional Neural Networks via Attention Transfer.,Sergey Zagoruyko; Nikos Komodakis
2017,Poster,Central Moment Discrepancy (CMD) for Domain-Invariant Representation Learning.,Werner Zellinger; Thomas Grubinger; Edwin Lughofer; Thomas Natschläger; Susanne Saminger-Platz
2017,Oral,Understanding deep learning requires rethinking generalization.,Chiyuan Zhang; Samy Bengio; Moritz Hardt; Benjamin Recht; Oriol Vinyals
2017,Poster,DeepDSL - A Compilation-based Domain-Specific Language for Deep Learning.,Tian Zhao; Xiaobing Huang; Yu Cao
2017,Poster,Energy-based Generative Adversarial Networks.,Junbo Jake Zhao; Michaël Mathieu; Yann LeCun
2017,Poster,Incremental Network Quantization - Towards Lossless CNNs with Low-precision Weights.,Aojun Zhou; Anbang Yao; Yiwen Guo; Lin Xu; Yurong Chen
2017,Poster,Trained Ternary Quantization.,Chenzhuo Zhu; Song Han; Huizi Mao; William J. Dally
2017,Poster,Visualizing Deep Neural Network Decisions - Prediction Difference Analysis.,Luisa M. Zintgraf; Taco S. Cohen; Tameem Adel; Max Welling
2017,Oral,Neural Architecture Search with Reinforcement Learning.,Barret Zoph; Quoc V. Le
2018,Poster,Learning One-hidden-layer Neural Networks with Landscape Design.,Rong Ge; Jason D. Lee; Tengyu Ma
2018,Poster,Fidelity-Weighted Learning.,Mostafa Dehghani; Arash Mehrjou; Stephan Gouws; Jaap Kamps; Bernhard Schölkopf
2018,Poster,Variational Inference of Disentangled Latent Concepts from Unlabeled Observations.,Abhishek Kumar; Prasanna Sattigeri; Avinash Balakrishnan
2018,Poster,Truncated horizon Policy Search - Combining Reinforcement Learning & Imitation Learning.,Wen Sun; J. Andrew Bagnell; Byron Boots
2018,Poster,Mixed Precision Training of Convolutional Neural Networks using Integer Operations.,Dipankar Das; Naveen Mellempudi; Dheevatsa Mudigere; Dhiraj D. Kalamkar; Sasikanth Avancha; Kunal Banerjee; Srinivas Sridharan; Karthik Vaidyanathan; Bharat Kaul; Evangelos Georganas; Alexander Heinecke; Pradeep Dubey; Jesús Corbal; Nikita Shustrov; Roman Dubtsov; Evarist Fomenko; Vadim O. Pirogov
2018,Poster,Maximum a Posteriori Policy Optimisation.,Abbas Abdolmaleki; Jost Tobias Springenberg; Yuval Tassa; Rémi Munos; Nicolas Heess; Martin A. Riedmiller
2018,Poster,Variational Network Quantization.,Jan Achterhold; Jan M. Köhler; Anke Schmeink; Tim Genewein
2018,Poster,Multi-Task Learning for Document Ranking and Query Suggestion.,Wasi Uddin Ahmad; Kai-Wei Chang; Hongning Wang
2018,Oral,Continuous Adaptation via Meta-Learning in Nonstationary and Competitive Environments.,Maruan Al-Shedivat; Trapit Bansal; Yura Burda; Ilya Sutskever; Igor Mordatch; Pieter Abbeel
2018,Oral,Learning to Represent Programs with Graphs.,Miltiadis Allamanis; Marc Brockschmidt; Mahmoud Khademi
2018,Poster,TD or not TD - Analyzing the Role of Temporal Differencing in Deep Reinforcement Learning.,Artemij Amiranashvili; Alexey Dosovitskiy; Vladlen Koltun; Thomas Brox
2018,Poster,Learning Awareness Models.,Brandon Amos; Laurent Dinh; Serkan Cabi; Thomas Rothörl; Sergio Gomez Colmenarejo; Alistair Muldal; Tom Erez; Yuval Tassa; Nando de Freitas; Misha Denil
2018,Poster,Towards better understanding of gradient-based attribution methods for Deep Neural Networks.,Marco Ancona; Enea Ceolini; Cengiz Öztireli; Markus Gross
2018,Poster,The High-Dimensional Geometry of Binary Neural Networks.,Alexander G. Anderson; Cory P. Berg
2018,Poster,Generative networks as inverse problems with Scattering transforms.,Tomás Angles; Stéphane Mallat
2018,Poster,Large scale distributed neural network training through online distillation.,Rohan Anil; Gabriel Pereyra; Alexandre Passos; Róbert Ormándi; George E. Dahl; Geoffrey E. Hinton
2018,Poster,Combining Symbolic Expressions and Black-box Function Evaluations in Neural Programs.,Forough Arabshahi; Sameer Singh; Animashree Anandkumar
2018,Poster,Understanding Deep Neural Networks with Rectified Linear Units.,Raman Arora; Amitabh Basu; Poorya Mianjy; Anirbit Mukherjee
2018,Poster,"A Compressed Sensing View of Unsupervised Text Embeddings, Bag-of-n-Grams, and LSTMs.",Sanjeev Arora; Mikhail Khodak; Nikunj Saunshi; Kiran Vodrahalli
2018,Poster,Do GANs learn the distribution? Some Theory and Empirics.,Sanjeev Arora; Andrej Risteski; Yi Zhang
2018,Poster,Unsupervised Neural Machine Translation.,Mikel Artetxe; Gorka Labaka; Eneko Agirre; Kyunghyun Cho
2018,Poster,Latent Space Oddity - on the Curvature of Deep Generative Models.,Georgios Arvanitidis; Lars Kai Hansen; Søren Hauberg
2018,Poster,N2N learning - Network to Network Compression via Policy Gradient Reinforcement Learning.,Anubhav Ashok; Nicholas Rhinehart; Fares Beainy; Kris M. Kitani
2018,Poster,Hierarchical Density Order Embeddings.,Ben Athiwaratkun; Andrew Gordon Wilson
2018,Poster,Stochastic Variational Video Prediction.,Mohammad Babaeizadeh; Chelsea Finn; Dumitru Erhan; Roy H. Campbell; Sergey Levine
2018,Poster,Variational image compression with a scale hyperprior.,Johannes Ballé; David Minnen; Saurabh Singh; Sung Jin Hwang; Nick Johnston
2018,Poster,Emergent Complexity via Multi-Agent Competition.,Trapit Bansal; Jakub Pachocki; Szymon Sidor; Ilya Sutskever; Igor Mordatch
2018,Poster,PixelNN - Example-based Image Synthesis.,Aayush Bansal; Yaser Sheikh; Deva Ramanan
2018,Poster,Distributed Distributional Deterministic Policy Gradients.,Gabriel Barth-Maron; Matthew W. Hoffman; David Budden; Will Dabney; Dan Horgan; Dhruva TB; Alistair Muldal; Nicolas Heess; Timothy P. Lillicrap
2018,Poster,Online Learning Rate Adaptation with Hypergradient Descent.,Atilim Gunes Baydin; Robert Cornish; David Martínez-Rubio; Mark Schmidt; Frank Wood
2018,Oral,Synthetic and Natural Noise Both Break Neural Machine Translation.,Yonatan Belinkov; Yonatan Bisk
2018,Poster,Deep Rewiring - Training very sparse deep networks.,Guillaume Bellec; David Kappel; Wolfgang Maass; Robert A. Legenstein
2018,Poster,Smooth Loss Functions for Deep Top-k Classification.,Leonard Berrada; Andrew Zisserman; M. Pawan Kumar
2018,Poster,Progressive Reinforcement Learning with Distillation for Multi-Skilled Motion Control.,Glen Berseth; Cheng Xie; Paul Cernek; Michiel van de Panne
2018,Poster,Demystifying MMD GANs.,Mikolaj Binkowski; Dougal J. Sutherland; Michael Arbel; Arthur Gretton
2018,Poster,Deep Learning for Physical Processes - Incorporating Prior Scientific Knowledge.,Emmanuel de Bezenac; Arthur Pajot; Patrick Gallinari
2018,Poster,Deep Gaussian Embedding of Graphs - Unsupervised Inductive Learning via Ranking.,Aleksandar Bojchevski; Stephan Günnemann
2018,Oral,AmbientGAN - Generative models from lossy measurements.,Ashish Bora; Eric Price; Alexandros G. Dimakis
2018,Poster,Simulating Action Dynamics with Neural Process Networks.,Antoine Bosselut; Omer Levy; Ari Holtzman; Corin Ennis; Dieter Fox; Yejin Choi
2018,Poster,Decision-Based Adversarial Attacks - Reliable Attacks Against Black-Box Machine Learning Models.,Wieland Brendel; Jonas Rauber; Matthias Bethge
2018,Poster,SMASH - One-Shot Model Architecture Search through HyperNetworks.,Andrew Brock; Theodore Lim; James M. Ritchie; Nick Weston
2018,Poster,SGD Learns Over-parameterized Networks that Provably Generalize on Linearly Separable Data.,Alon Brutzkus; Amir Globerson; Eran Malach; Shai Shalev-Shwartz
2018,Oral,Ask the Right Questions - Active Question Reformulation with Reinforcement Learning.,Christian Buck; Jannis Bulian; Massimiliano Ciaramita; Wojciech Gajewski; Andrea Gesmundo; Neil Houlsby; Wei Wang
